,0
0,1350908
1,1551023
2,1622457
3,1662521
4,1723523
5,1731579
6,1733250
7,1739767
8,1742757
9,1745207
10,1745863
11,1747189
12,1747300
13,1747404
14,1748152
15,1750534
16,1750675
17,1750819
18,1751259
19,1752253
20,1753752
21,1753914
22,1754476
23,1754529
24,1755373
25,1756094
26,1756529
27,1757512
28,1757516
29,1757630
30,1757668
31,1757834
32,1758416
33,1758527
34,1759066
35,1759687
36,1760125
37,1760700
38,1760767
39,1761426
40,1761532
41,1761929
42,1762919
43,1763619
44,1763621
45,1763965
46,1764074
47,1764344
48,1764493
49,1765061
50,1765082
51,1765197
52,1765247
53,1765366
54,1765390
55,1766579
56,1766595
57,1766790
58,1766887
59,1766913
60,1767075
61,1767342
62,1767350
63,1767406
64,1767430
65,1767460
66,1767490
67,1767508
68,1767544
69,1767608
70,1767638
71,1767674
72,1768111
73,1768146
74,1768220
75,1768248
76,1768458
77,1768889
78,1768910
79,1768920
80,1769060
81,1769170
82,1769176
83,1769224
84,1769460
85,1769463
86,1769491
87,1769495
88,1769578
89,1769625
90,1769672
91,1769737
92,1769784
93,1769981
94,1770245
95,1770314
96,1770379
97,1770395
98,1770396
99,1770438
100,1770506
101,1770575
102,1770589
103,1770646
104,1770647
105,1771073
106,1771086
107,1771140
108,1771145
109,1771172
110,1771203
111,1771265
112,1771276
113,1771315
114,1771415
115,1771428
116,1771792
117,1771946
118,1771973
119,1772009
120,1772108
121,1772118
122,1772152
123,1772174
124,1772178
125,1772190
126,1772257
127,1772682
128,1772753
129,1772755
130,1772790
131,1772979
132,1773054
133,1773276
134,1773282
135,1773361
136,1773393
137,1773451
138,1773511
139,1773553
140,1773690
141,1774063
142,1774208
143,1774253
144,1774260
145,1774307
146,1774317
147,1774326
148,1774425
149,1774611
150,1774933
151,1775101
152,1775614
153,1775618
154,1775737
155,1775764
156,1775771
157,1775802
158,1775814
159,1775861
160,1775886
161,1776322
162,1776505
163,1776547
164,1776558
165,1776658
166,1776732
167,1776880
168,1776957
169,1777123
170,1777207
171,1777269
172,1777275
173,1777361
174,1777372
175,1777373
176,1777602
177,1777683
178,1777771
179,1777815
180,1777868
181,1777876
182,1777921
183,1777946
184,1777990
185,1778052
186,1778105
187,1778142
188,1778237
189,1778305
190,1778630
191,1778753
192,1778804
193,1778930
194,1778938
195,1778992
196,1779001
197,1779115
198,1779159
199,1779504
200,1779540
201,1779587
202,1779886
203,1779914
204,1780257
205,1780258
206,1780273
207,1780334
208,1780423
209,1780506
210,1780608
211,1780961
212,2089127
213,2089190
214,2089193
215,2089275
216,2089305
217,2089476
218,2089513
219,2089514
220,2089620
221,2089650
222,2089812
223,2089817
224,2089848
225,2089917
226,2089968
227,2090036
228,2090070
229,2090438
230,2090518
231,2090558
232,CA72081
233,CA75174
234,CA75177
